Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No
H R 3892,5,2010,111,151,1,205,0,0,0
H R 3538,11,2010,111,164,4,61,187,0,0
H R 3254,12,2010,111,14,153,240,5,0,0
H R 3342,13,2010,111,15,149,234,4,0,0
H R 730,16,2010,111,155,9,242,1,0,0
H R 4474,22,2010,111,170,0,245,0,0,0
H R 3726,23,2010,111,0,171,240,4,0,0
H R 4495,26,2010,111,161,0,229,0,0,0
H R 4532,47,2010,111,165,6,247,0,0,0
H R 4425,49,2010,111,137,0,193,0,0,0
H R 2314,59,2010,111,6,160,239,4,0,0
H R 4626,64,2010,111,153,19,253,0,0,0
H R 3961,67,2010,111,153,10,162,87,0,0
H R 3820,76,2010,111,108,48,227,2,0,0
H R 4247,82,2010,111,24,145,238,8,0,0
H R 4621,97,2010,111,170,0,246,0,0,0
H R 3650,109,2010,111,38,98,213,5,0,0
H R 4506,111,2010,111,129,4,216,1,0,0
S 1147,124,2010,111,150,20,237,5,0,0
H R 3954,125,2010,111,171,1,247,0,0,0
H R 4825,127,2010,111,171,0,242,1,0,0
H R 4214,128,2010,111,173,0,246,0,0,0
H R 3542,133,2010,111,169,0,239,0,0,0
H R 3509,134,2010,111,147,23,235,3,0,0
H R 3671,137,2010,111,49,117,240,4,0,0
H R 2788,138,2010,111,166,0,244,0,0,0
H R 3644,142,2010,111,8,161,236,9,0,0
H R 4003,143,2010,111,50,114,243,1,0,0
H R 4395,144,2010,111,138,27,234,4,0,0
H R 1612,151,2010,111,58,114,230,2,0,0
H R 4887,152,2010,111,171,0,232,0,0,0
H R 4840,155,2010,111,177,0,243,0,0,0
H R 3976,176,2010,111,168,4,248,0,0,0
H R 4592,177,2010,111,152,19,245,0,0,0
H R 4849,182,2010,111,4,171,242,7,0,0
H R 4098,183,2010,111,160,13,248,0,0,0
H R 1879,184,2010,111,171,1,245,0,0,0
H R 4360,192,2010,111,171,0,246,0,0,0
H R 4872,194,2010,111,0,175,220,32,0,0
H R 3125,201,2010,111,150,18,244,0,0,0
H R 4715,209,2010,111,38,126,240,2,0,0
H R 4851,211,2010,111,49,111,240,1,0,0
S 1963,214,2010,111,174,0,245,0,0,0
H R 4543,221,2010,111,156,0,214,0,0,0
H R 4861,223,2010,111,153,0,218,0,0,0
H R 5017,225,2010,111,108,62,244,0,0,0
H R 5146,226,2010,111,170,0,232,15,0,0
H R 5013,230,2010,111,170,3,247,0,0,0
H R 5014,260,2010,111,171,0,246,0,0,0
H R 4614,274,2010,111,124,32,233,0,0,0
H R 1514,276,2010,111,119,44,245,1,0,0
H R 5099,280,2010,111,163,1,247,0,0,0
H R 5327,284,2010,111,166,1,244,3,0,0
H R 5128,290,2010,111,164,1,245,0,0,0
H R 1017,292,2010,111,146,6,219,0,0,0
H R 5330,293,2010,111,150,4,216,0,0,0
H R 5145,294,2010,111,165,2,248,0,0,0
H R 3885,298,2010,111,159,4,244,0,0,0
H R 2711,299,2010,111,167,0,249,0,0,0
H R 5136,336,2010,111,9,160,220,26,0,0
H R 1061,337,2010,111,146,0,201,0,0,0
H R 5278,345,2010,111,169,0,247,0,0,0
H R 5133,346,2010,111,165,0,244,0,0,0
H R 5072,353,2010,111,165,3,241,1,0,0
S 3473,354,2010,111,165,0,245,0,0,0
H R 5502,357,2010,111,147,0,210,0,0,0
H R 4855,360,2010,111,19,147,230,16,0,0
H R 5486,363,2010,111,5,162,242,8,0,0
H R 5481,382,2010,111,169,1,251,0,0,0
H R 3993,383,2010,111,133,41,248,0,0,0
H R 5175,391,2010,111,2,170,217,36,0,0
H R 3962,393,2010,111,170,0,247,1,0,0
H R 2194,394,2010,111,167,2,241,6,0,0
H R 5552,400,2010,111,170,1,242,5,0,0
H R 5623,401,2010,111,165,5,244,0,0,0
H R 5395,403,2010,111,170,0,239,0,0,0
H R 4307,405,2010,111,171,0,246,0,0,0
H R 4505,408,2010,111,171,0,249,0,0,0
H R 1554,411,2010,111,175,0,246,1,0,0
H R 4445,414,2010,111,169,0,242,0,0,0
H R 2340,416,2010,111,173,0,237,0,0,0
H R 5618,423,2010,111,29,142,241,11,0,0
H R 5609,425,2010,111,167,1,241,3,0,0
H R 4514,434,2010,111,125,26,225,0,0,0
H R 4438,435,2010,111,39,113,225,1,0,0
H R 4773,436,2010,111,151,0,228,0,0,0
S 1508,442,2010,111,170,0,244,0,0,0
H R 5114,447,2010,111,85,89,244,1,0,0
H R 5604,452,2010,111,163,0,239,0,0,0
H R 725,455,2010,111,78,92,248,0,0,0
H R 4380,456,2010,111,129,42,249,1,0,0
H R 5566,459,2010,111,167,3,249,0,0,0
H R 1469,462,2010,111,167,4,246,0,0,0
H R 4213,463,2010,111,31,142,241,10,0,0
H R 5341,464,2010,111,165,0,246,0,0,0
H R 1320,467,2010,111,27,124,223,0,0,0
H R 3101,469,2010,111,128,23,220,0,0,0
H R 5730,471,2010,111,163,6,231,17,0,0
H R 4899,474,2010,111,160,12,148,102,0,0
H R 4748,475,2010,111,165,0,248,0,0,0
H R 4692,477,2010,111,132,38,247,0,0,0
H R 5827,479,2010,111,168,1,139,112,0,0
H R 5822,482,2010,111,164,6,247,0,0,0
H R 3040,487,2010,111,89,79,246,2,0,0
H R 5850,499,2010,111,14,154,237,13,0,0
H R 5901,502,2010,111,155,10,247,1,0,0
H R 5414,504,2010,111,162,0,246,0,0,0
H R 5851,506,2010,111,68,92,247,1,0,0
H R 3534,513,2010,111,2,154,207,39,0,0
H R 1586,518,2010,111,2,158,245,3,0,0
H R 2039,521,2010,111,139,35,232,1,0,0
H R 5873,522,2010,111,174,0,237,0,0,0
H R 5366,524,2010,111,173,0,236,0,0,0
H R 4785,530,2010,111,6,167,234,5,0,0
H R 5131,532,2010,111,1,168,214,6,0,0
H R 3470,533,2010,111,106,64,218,0,0,0
H R 5110,537,2010,111,2,172,242,2,0,0
H R 4823,538,2010,111,12,160,246,0,0,0
H R 5297,539,2010,111,1,174,236,13,0,0
H R 5307,540,2010,111,166,3,246,0,0,0
H R 5756,541,2010,111,147,24,246,0,0,0
H R 3199,542,2010,111,165,5,247,0,0,0
H R 1745,543,2010,111,170,1,247,0,0,0
H R 5710,544,2010,111,140,31,244,1,0,0
H R 3685,551,2010,111,174,0,251,0,0,0
H R 5993,552,2010,111,109,64,249,2,0,0
H R 2378,554,2010,111,99,74,249,5,0,0
H R 6160,555,2010,111,74,97,251,1,0,0
H R 4072,556,2010,111,161,10,251,0,0,0
H R 2701,558,2010,111,1,172,243,9,0,0
S 3729,561,2010,111,119,54,185,64,0,0
H R 946,562,2010,111,92,80,249,2,0,0
H R 512,563,2010,111,45,128,251,1,0,0
H R 3081,564,2010,111,1,172,227,22,0,0
H R 3940,565,2010,111,159,3,227,2,0,0
S 3689,566,2010,111,164,0,221,0,0,0
H R 3808,573,2010,111,169,5,16,230,0,0
H R 5758,574,2010,111,172,0,245,0,0,0
H R 1722,578,2010,111,14,149,240,3,0,0
H R 6419,579,2010,111,21,143,237,11,0,0
S 3774,580,2010,111,127,32,239,8,0,0
H R 5877,581,2010,111,154,0,212,0,0,0
H R 4783,584,2010,111,16,149,240,3,0,0
H R 6469,601,2010,111,166,3,250,0,0,0
S 3307,603,2010,111,17,153,247,4,0,0
H R 6400,608,2010,111,157,0,225,0,0,0
H R 5987,611,2010,111,26,141,228,12,0,0
H R 6495,616,2010,111,1,166,213,27,0,0
H R 4501,620,2010,111,85,81,239,0,0,0
S 3998,624,2010,111,163,2,238,0,0,0
H R 5281,625,2010,111,8,160,208,38,0,0
H R 4994,626,2010,111,166,1,243,1,0,0
H R 6412,627,2010,111,151,1,220,0,0,0
S 1405,628,2010,111,153,0,211,0,0,0
S 3167,629,2010,111,1,154,200,13,0,0
H R 6510,630,2010,111,153,0,210,0,0,0
H R 5446,631,2010,111,166,0,239,0,0,0
H R 6205,634,2010,111,165,0,234,0,0,0
H R 2965,638,2010,111,15,160,235,15,0,0
S 841,640,2010,111,137,30,242,0,0,0
S 3860,641,2010,111,164,3,243,0,0,0
S 3447,642,2010,111,164,3,245,0,0,0
S 987,645,2010,111,12,157,229,9,0,0
H R 4853,647,2010,111,138,36,139,112,0,0
H R 1107,649,2010,111,159,0,226,0,0,0
H R 6523,650,2010,111,154,6,187,42,0,0
H R 628,651,2010,111,153,1,218,0,0,0
H R 5510,655,2010,111,6,140,204,5,0,0
S 3874,656,2010,111,31,108,195,1,0,0
H R 6540,658,2010,111,122,21,203,2,0,0
H R 5116,659,2010,111,16,130,212,0,0,0
H R 2142,660,2010,111,8,138,208,1,0,0
H R 2751,661,2010,111,10,136,205,8,0,0
H R 3082,662,2010,111,1,146,192,19,0,0
H R 6547,663,2010,111,113,20,201,0,0,0
H R 847,664,2010,111,31,59,175,1,0,0
H R 292,12,2011,112,234,0,165,0,0,0
S 188,27,2011,112,238,0,191,0,0,0
H R 519,28,2011,112,236,2,23,167,0,0
H R 514,66,2011,112,211,26,68,117,0,0
H R 394,148,2011,112,226,0,176,0,0,0
H R 347,149,2011,112,223,3,176,0,0,0
H R 368,150,2011,112,220,4,176,0,0,0
H R 662,160,2011,112,232,3,189,1,0,0
H R 570,163,2011,112,221,12,180,0,0,0
H R 525,164,2011,112,95,138,185,0,0,0
H R 830,171,2011,112,238,1,18,170,0,0
H R 836,174,2011,112,234,2,8,175,0,0
H R 793,175,2011,112,228,0,166,0,0,0
H R 861,188,2011,112,237,2,5,180,0,0
H R 839,198,2011,112,234,2,18,168,0,0
H R 471,204,2011,112,224,9,1,186,0,0
H R 872,206,2011,112,235,0,57,130,0,0
H R 658,220,2011,112,221,11,2,185,0,0
H R 1255,224,2011,112,221,15,0,187,0,0
H R 1246,225,2011,112,226,0,167,0,0,0
H R 910,249,2011,112,236,0,19,172,0,0
H R 1363,253,2011,112,208,28,140,42,0,0
H R 1308,254,2011,112,229,2,165,16,0,0
S 307,255,2011,112,227,2,181,1,0,0
H R 1217,264,2011,112,232,0,4,183,0,0
H R 1473,268,2011,112,179,59,81,108,0,0
H R 1213,285,2011,112,233,0,5,183,0,0
H R 1230,298,2011,112,233,2,33,147,0,0
H R 1229,309,2011,112,235,0,28,163,0,0
H R 1231,320,2011,112,222,9,21,170,0,0
H R 754,329,2011,112,223,3,169,12,0,0
H R 1627,330,2011,112,217,0,163,0,0,0
H R 1657,332,2011,112,220,1,165,0,0,0
H R 1216,340,2011,112,231,4,3,181,0,0
S 990,376,2011,112,196,31,54,122,0,0
H R 1484,377,2011,112,234,1,185,0,0,0
S 1082,378,2011,112,224,11,163,22,0,0
H R 1954,379,2011,112,0,236,97,82,0,0
H R 802,383,2011,112,222,11,186,0,0,0
H R 2017,409,2011,112,214,20,17,168,0,0
H R 1632,460,2011,112,224,0,172,0,0,0
H R 771,461,2011,112,225,0,173,0,0,0
S 349,462,2011,112,225,0,172,0,0,0
H R 672,466,2011,112,235,0,0,187,0,0
H R 2021,478,2011,112,230,2,23,164,0,0
H R 1249,491,2011,112,168,67,136,50,0,0
H R 2278,494,2011,112,144,89,36,149,0,0
H R 2219,532,2011,112,224,12,112,75,0,0
H R 2417,563,2011,112,228,10,5,183,0,0
H R 2018,573,2011,112,223,13,16,171,0,0
H R 2354,600,2011,112,209,21,10,175,0,0
H R 33,601,2011,112,181,1,129,0,0,0
H R 2560,606,2011,112,229,9,5,181,0,0
H R 2553,611,2011,112,230,6,13,171,0,0
H R 1315,621,2011,112,231,1,10,172,0,0
H R 2551,629,2011,112,213,16,39,143,0,0
H R 1383,638,2011,112,237,0,187,0,0,0
H R 1938,650,2011,112,232,3,47,144,0,0
H R 2584,670,2011,112,181,55,0,185,0,0
H R 440,673,2011,112,216,20,186,0,0,0
H R 2244,674,2011,112,235,0,183,1,0,0
S 627,677,2011,112,218,22,0,188,0,0
H R 2213,678,2011,112,236,0,184,0,0,0
H R 1975,679,2011,112,234,0,182,0,0,0
H R 1843,680,2011,112,231,3,183,0,0,0
H R 2693,682,2011,112,0,235,173,11,0,0
H R 2715,683,2011,112,236,0,185,2,0,0
H R 398,684,2011,112,238,0,188,0,0,0
H R 1933,685,2011,112,220,16,187,1,0,0
S 365,690,2011,112,174,66,95,95,0,0
H R 2480,691,2011,112,201,23,181,0,0,0
H R 2076,699,2011,112,204,9,154,0,0,0
H R 2633,700,2011,112,222,0,162,0,0,0
H R 1059,701,2011,112,223,0,161,0,0,0
H R 2218,705,2011,112,219,13,146,41,0,0
H R 2867,709,2011,112,208,21,183,0,0,0
H R 2587,711,2011,112,230,7,8,179,0,0
H R 2944,712,2011,112,232,0,183,0,0,0
H R 2189,713,2011,112,214,18,184,0,0,0
H R 2646,714,2011,112,228,3,184,0,0,0
S 846,718,2011,112,229,2,178,0,0,0
H R 2883,720,2011,112,211,25,184,0,0,0
H R 2401,741,2011,112,230,4,19,165,0,0
H R 686,742,2011,112,226,0,174,0,0,0
H R 765,743,2011,112,226,0,168,0,0,0
H R 670,744,2011,112,224,0,173,0,0,0
H R 2608,745,2011,112,182,53,170,13,0,0
H R 2681,764,2011,112,237,2,25,159,0,0
H R 3078,781,2011,112,231,9,31,158,0,0
H R 3079,782,2011,112,234,6,66,123,0,0
H R 3080,783,2011,112,219,21,59,130,0,0
H R 2832,784,2011,112,118,122,189,0,0,0
H R 2433,785,2011,112,235,5,183,1,0,0
H R 358,789,2011,112,236,2,15,170,0,0
H R 2250,791,2011,112,234,0,41,142,0,0
H R 2273,800,2011,112,230,3,37,141,0,0
H R 320,801,2011,112,224,1,168,0,0,0
H R 1160,802,2011,112,224,0,171,0,0,0
H R 2447,804,2011,112,237,0,185,0,0,0
H R 1904,809,2011,112,228,8,7,178,0,0
H R 2527,812,2011,112,230,3,186,0,0,0
H R 2576,813,2011,112,235,0,27,157,0,0
S 1280,817,2011,112,234,0,172,0,0,0
H R 2061,818,2011,112,240,0,185,0,0,0
H R 1965,819,2011,112,236,1,184,1,0,0
H R 1070,820,2011,112,238,0,183,1,0,0
H R 2930,825,2011,112,238,0,169,17,0,0
H R 2940,828,2011,112,238,0,175,11,0,0
H R 3321,831,2011,112,224,0,163,2,0,0
S 1412,837,2011,112,222,0,163,0,0,0
H R 298,838,2011,112,225,0,166,0,0,0
H R 2422,839,2011,112,225,0,165,0,0,0
H R 2838,841,2011,112,1,235,188,0,0,0
H R 822,852,2011,112,229,7,43,147,0,0
H R 674,853,2011,112,232,0,190,0,0,0
H R 2112,857,2011,112,133,101,165,20,0,0
H R 3012,860,2011,112,210,13,179,2,0,0
H R 2192,861,2011,112,224,1,183,0,0,0
H R 1801,862,2011,112,225,0,179,0,0,0
H R 3094,869,2011,112,229,8,6,180,0,0
H R 3463,873,2011,112,235,1,0,189,0,0
H R 527,880,2011,112,235,0,28,159,0,0
H R 3010,888,2011,112,234,0,19,167,0,0
H R 2471,891,2011,112,227,7,76,109,0,0
H R 10,901,2011,112,237,0,4,184,0,0
H R 1254,904,2011,112,220,16,97,82,0,0
H R 1633,912,2011,112,235,0,33,150,0,0
H R 3220,913,2011,112,201,0,150,0,0,0
H R 2158,914,2011,112,200,1,153,0,0,0
H R 3246,920,2011,112,232,0,183,0,0,0
S 384,921,2011,112,232,1,185,0,0,0
H R 2767,924,2011,112,234,0,186,0,0,0
H R 1905,927,2011,112,233,2,177,9,0,0
H R 2105,928,2011,112,234,0,184,2,0,0
H R 3421,929,2011,112,231,0,185,0,0,0
H R 1264,930,2011,112,232,1,186,0,0,0
H R 1540,932,2011,112,190,43,93,93,0,0
H R 886,934,2011,112,229,1,183,0,0,0
H R 2719,935,2011,112,233,0,183,0,0,0
H R 443,936,2011,112,226,4,181,0,0,0
H R 1892,939,2011,112,230,4,166,19,0,0
S 278,940,2011,112,231,0,182,0,0,0
H R 2055,941,2011,112,147,86,149,35,0,0
H R 3672,943,2011,112,169,66,182,1,0,0
H R 3630,948,2011,112,2,234,181,4,0,0
H R 3117,5,2012,112,214,1,159,0,0,0
H R 1141,6,2012,112,116,100,162,0,0,0
H R 2070,8,2012,112,233,0,153,26,0,0
H R 3801,11,2012,112,227,0,181,0,0,0
H R 1173,18,2012,112,239,0,28,159,0,0
H R 3835,19,2012,112,237,2,72,115,0,0
H R 3567,20,2012,112,236,1,159,26,0,0
H R 3582,30,2012,112,238,0,4,179,0,0
H R 3581,42,2012,112,238,2,7,178,0,0
S 2038,47,2012,112,232,2,185,0,0,0
H R 2079,52,2012,112,233,2,185,0,0,0
H R 3247,53,2012,112,235,0,184,0,0,0
H R 3248,54,2012,112,233,0,179,0,0,0
H R 3408,71,2012,112,216,21,21,166,0,0
H R 2117,79,2012,112,234,0,69,114,0,0
H R 1837,91,2012,112,236,1,10,174,0,0
S 1134,93,2012,112,219,16,120,64,0,0
H R 3637,95,2012,112,217,2,145,0,0,0
H R 4105,96,2012,112,194,39,176,0,0,0
H R 665,114,2012,112,227,0,176,0,0,0
H R 2087,117,2012,112,223,3,17,161,0,0
H R 2779,127,2012,112,223,0,134,36,0,0
H R 2682,128,2012,112,224,0,146,24,0,0
H R 3606,132,2012,112,235,0,145,41,0,0
H R 3298,133,2012,112,230,5,184,0,0,0
H R 4281,147,2012,112,229,10,37,148,0,0
H R 3001,152,2012,112,216,0,161,0,0,0
H R 3336,180,2012,112,239,0,73,111,0,0
H R 3523,192,2012,112,206,28,42,140,0,0
H R 2096,193,2012,112,220,10,175,0,0,0
H R 4628,195,2012,112,202,30,13,165,0,0
H R 2072,224,2012,112,147,93,183,0,0,0
H R 4133,225,2012,112,236,1,175,1,0,0
H R 5652,247,2012,112,218,16,0,183,0,0
H R 5326,249,2012,112,224,8,23,155,0,0
H R 365,250,2012,112,222,1,172,0,0,0
H R 3874,251,2012,112,224,1,176,0,0,0
H R 4119,256,2012,112,233,3,183,1,0,0
H R 4970,258,2012,112,216,23,6,182,0,0
H R 5740,262,2012,112,221,17,181,1,0,0
H R 5651,294,2012,112,219,4,168,1,0,0
H R 4201,295,2012,112,220,2,170,0,0,0
H R 3541,299,2012,112,226,7,20,161,0,0
H R 5743,301,2012,112,224,7,162,21,0,0
H R 5854,305,2012,112,226,8,181,4,0,0
H R 436,361,2012,112,233,0,37,146,0,0
H R 5855,370,2012,112,217,16,17,166,0,0
H R 5882,377,2012,112,211,19,96,83,0,0
S 684,379,2012,112,216,3,167,0,0,0
S 404,380,2012,112,217,0,163,0,0,0
H R 2578,387,2012,112,216,19,16,169,0,0
H R 2938,388,2012,112,232,4,111,74,0,0
H R 4480,410,2012,112,229,5,19,158,0,0
H R 4251,438,2012,112,220,18,182,3,0,0
H R 4005,439,2012,112,228,8,183,1,0,0
H R 5972,450,2012,112,182,55,79,108,0,0
H R 4348,451,2012,112,186,52,187,0,0,0
H R 4155,452,2012,112,206,0,163,0,0,0
H R 5892,454,2012,112,208,0,164,0,0,0
H R 6079,460,2012,112,239,0,5,185,0,0
H R 4402,468,2012,112,234,0,22,160,0,0
H R 6018,469,2012,112,166,60,167,1,0,0
S 2009,470,2012,112,212,11,166,0,0,0
H R 5872,471,2012,112,237,0,177,2,0,0
H R 5856,498,2012,112,225,11,101,79,0,0
H R 2362,499,2012,112,179,42,43,118,0,0
S 2039,500,2012,112,117,103,9,151,0,0
H R 3477,501,2012,112,219,0,160,0,0,0
H R 6082,511,2012,112,228,9,25,161,0,0
H R 6168,512,2012,112,1,238,163,23,0,0
H R 459,513,2012,112,238,1,89,97,0,0
H R 4078,536,2012,112,232,2,13,170,0,0
S 679,537,2012,112,95,115,166,1,0,0
H R 828,538,2012,112,204,6,59,108,0,0
H R 3803,539,2012,112,203,6,17,148,0,0
H R 4365,547,2012,112,232,3,182,3,0,0
H R 6169,552,2012,112,232,3,0,186,0,0
H R 6233,554,2012,112,188,46,35,151,0,0
H R 6122,557,2012,112,214,0,163,0,0,0
H R 2139,558,2012,112,213,2,163,0,0,0
H R 6186,559,2012,112,204,11,160,0,0,0
H R 4264,562,2012,112,223,7,179,0,0,0
H R 5544,568,2012,112,223,8,2,181,0,0
H R 5949,569,2012,112,227,7,74,111,0,0
H R 3857,570,2012,112,176,57,179,5,0,0
H R 5865,571,2012,112,157,76,182,1,0,0
H R 1775,575,2012,112,229,2,181,1,0,0
H R 6365,577,2012,112,222,12,1,184,0,0
S 3245,580,2012,112,228,3,184,0,0,0
H R 6213,584,2012,112,223,4,22,157,0,0
H R 5044,585,2012,112,226,0,174,0,0,0
H R 5912,586,2012,112,225,0,85,95,0,0
H R 3409,603,2012,112,214,13,19,162,0,0
H R 6371,604,2012,112,212,3,149,0,0,0
H R 2453,607,2012,112,207,18,163,1,0,0
H R 6156,608,2012,112,227,6,138,37,0,0
H R 5997,609,2012,112,223,1,174,0,0,0
H R 915,610,2012,112,222,3,175,1,0,0
H R 6429,613,2012,112,218,5,27,134,0,0
H R 6582,614,2012,112,218,2,180,0,0,0
H R 6602,618,2012,112,216,0,176,0,0,0
S 2367,619,2012,112,217,1,181,0,0,0
H R 6190,623,2012,112,198,29,31,153,0,0
H R 4053,626,2012,112,222,0,180,0,0,0
H R 4606,627,2012,112,177,0,109,10,0,0
S 3193,628,2012,112,178,0,128,0,0,0
H R 6504,629,2012,112,187,36,172,0,0,0
H R 3783,630,2012,112,217,5,169,1,0,0
H R 6621,631,2012,112,157,70,151,19,0,0
S 3642,632,2012,112,221,4,167,0,0,0
H R 6672,633,2012,112,205,16,178,0,0,0
H R 1845,634,2012,112,223,3,178,0,0,0
H R 6655,636,2012,112,151,77,179,0,0,0
S 3564,637,2012,112,227,1,182,0,0,0
H R 6016,638,2012,112,224,0,178,2,0,0
H R 6684,644,2012,112,215,21,0,188,0,0
H R 4310,645,2012,112,205,30,110,77,0,0
H R 3197,646,2012,112,234,1,187,0,0,0
H R 6443,647,2012,112,236,0,186,0,0,0
S 925,648,2012,112,228,6,180,1,0,0
H R 3159,649,2012,112,221,0,169,0,0,0
H R 4057,650,2012,112,220,3,172,0,0,0
S 3202,651,2012,112,220,0,173,0,0,0
S 3454,652,2012,112,222,5,151,24,0,0
H R 6612,653,2012,112,227,0,177,0,0,0
H R 6364,654,2012,112,223,5,178,0,0,0
H R 6726,655,2012,112,232,2,55,127,0,0
H R 4212,657,2012,112,195,37,183,0,0,0
H R 41,7,2013,113,161,67,193,0,0,0
H R 219,8,2013,113,222,0,181,0,0,0
H R 152,23,2013,113,49,179,192,1,0,0
H R 325,30,2013,113,199,33,86,111,0,0
H R 225,31,2013,113,193,27,182,0,0,0
H R 444,38,2013,113,227,1,26,166,0,0
H R 592,39,2013,113,224,6,130,66,0,0
H R 267,40,2013,113,228,0,194,0,0,0
H R 273,44,2013,113,218,10,43,144,0,0
H R 667,47,2013,113,213,0,181,0,0,0
H R 307,56,2013,113,192,28,178,0,0,0
H R 668,57,2013,113,229,0,163,28,0,0
H R 338,58,2013,113,224,5,197,0,0,0
H R 1035,63,2013,113,208,17,189,0,0,0
H R 890,68,2013,113,228,3,18,178,0,0
H R 933,89,2013,113,203,27,115,82,0,0
H R 254,90,2013,113,219,1,181,3,0,0
H R 1033,91,2013,113,101,122,182,0,0,0
H R 678,96,2013,113,228,0,188,7,0,0
H R 1120,101,2013,113,219,10,0,199,0,0
H R 1162,103,2013,113,222,0,186,0,0,0
H R 882,104,2013,113,220,0,187,0,0,0
H R 249,105,2013,113,215,7,35,152,0,0
H R 756,107,2013,113,207,16,195,0,0,0
H R 967,108,2013,113,210,11,196,0,0,0
H R 624,117,2013,113,196,29,92,98,0,0
H R 1067,118,2013,113,221,0,188,0,0,0
H R 1068,119,2013,113,221,0,188,0,0,0
H R 1765,125,2013,113,202,12,159,29,0,0
H R 588,129,2013,113,213,2,185,0,0,0
H R 291,130,2013,113,212,2,178,0,0,0
H R 507,131,2013,113,216,2,185,0,0,0
H R 1406,137,2013,113,220,8,3,196,0,0
H R 807,142,2013,113,221,8,0,199,0,0
H R 180,144,2013,113,222,2,184,0,0,0
H R 1580,145,2013,113,223,0,190,0,0,0
H R 701,148,2013,113,229,0,187,6,0,0
H R 384,149,2013,113,227,3,193,0,0,0
H R 45,154,2013,113,227,0,2,195,0,0
H R 1062,160,2013,113,218,0,17,161,0,0
H R 258,161,2013,113,207,3,183,0,0,0
H R 1073,162,2013,113,206,3,184,0,0,0
H R 324,165,2013,113,220,0,195,0,0,0
H R 1344,166,2013,113,219,0,194,0,0,0
H R 1206,184,2013,113,222,0,179,0,0,0
S 622,185,2013,113,222,0,168,12,0,0
H R 2216,193,2013,113,229,0,192,4,0,0
H R 2217,211,2013,113,220,10,25,172,0,0
H R 1157,213,2013,113,224,0,185,0,0,0
H R 634,215,2013,113,230,0,181,12,0,0
H R 742,216,2013,113,229,0,191,2,0,0
H R 1256,218,2013,113,228,2,73,122,0,0
H R 1038,219,2013,113,230,0,193,0,0,0
H R 1960,244,2013,113,212,18,103,90,0,0
H R 876,245,2013,113,211,0,187,0,0,0
H R 253,246,2013,113,210,1,187,0,0,0
H R 862,247,2013,113,209,1,186,0,0,0
H R 1151,250,2013,113,229,0,195,0,0,0
H R 1797,251,2013,113,222,6,6,190,0,0
H R 1896,252,2013,113,200,27,194,0,0,0
H R 1947,286,2013,113,171,62,24,172,0,0
H R 2383,287,2013,113,212,2,183,0,0,0
H R 1092,288,2013,113,210,3,182,0,0,0
H R 1613,293,2013,113,228,1,28,170,0,0
H R 1864,294,2013,113,226,0,197,0,0,0
H R 2231,304,2013,113,219,6,16,180,0,0
H R 1341,305,2013,113,207,0,146,24,0,0
H R 1564,306,2013,113,211,0,110,62,0,0
H R 1171,307,2013,113,212,1,175,0,0,0
H R 2609,345,2013,113,219,9,8,189,0,0
H R 1848,355,2013,113,223,0,188,0,0,0
H R 2667,361,2013,113,229,1,35,160,0,0
H R 2668,363,2013,113,229,1,22,173,0,0
H R 1542,375,2013,113,215,2,173,1,0,0
H R 2397,414,2013,113,220,8,95,101,0,0
H R 2610,425,2013,113,9,215,107,80,0,0
H R 1911,426,2013,113,221,6,171,25,0,0
H R 850,427,2013,113,222,3,178,17,0,0
H R 1582,432,2013,113,223,0,9,181,0,0
H R 1897,435,2013,113,220,2,185,1,0,0
H R 2879,436,2013,113,224,2,15,174,0,0
H R 367,445,2013,113,226,0,6,183,0,0
H R 2009,447,2013,113,228,0,4,185,0,0
H R 2052,448,2013,113,194,32,185,0,0,0
H R 2844,449,2013,113,227,0,188,0,0,0
H R 1155,450,2013,113,221,6,176,0,0,0
H R 2747,451,2013,113,218,10,178,0,0,0
S 130,452,2013,113,226,1,182,0,0,0
S 304,453,2013,113,226,1,193,0,0,0
S 256,454,2013,113,227,0,188,0,0,0
S 459,455,2013,113,222,5,192,0,0,0
H R 3092,460,2013,113,221,2,186,0,0,0
H R 2449,461,2013,113,224,0,183,0,0,0
S 793,462,2013,113,202,24,181,0,0,0
H R 301,465,2013,113,207,21,195,1,0,0
H R 761,471,2013,113,231,0,15,178,0,0
H R 3102,476,2013,113,217,15,0,195,0,0
H R 1526,483,2013,113,227,1,17,172,0,0
H R 1961,484,2013,113,198,5,82,84,0,0
H R 3095,486,2013,113,222,0,183,0,0,0
H R 2600,487,2013,113,224,0,186,0,0,0
H R 687,490,2013,113,6,216,185,1,0,0
H R 1412,491,2013,113,222,0,180,0,0,0
H R 3096,492,2013,113,219,2,184,0,0,0
H R 2251,496,2013,113,225,3,191,1,0,0
H R 3210,499,2013,113,231,0,192,0,0,0
H R 2848,500,2013,113,194,35,190,2,0,0
S 1348,503,2013,113,192,35,195,0,0,0
H R 3230,516,2013,113,229,0,36,160,0,0
H R 3223,525,2013,113,218,0,189,0,0,0
H R 3273,534,2013,113,222,5,2,192,0,0
H R 2642,546,2013,113,9,204,186,0,0,0
H R 2775,550,2013,113,87,144,198,0,0,0
H R 185,551,2013,113,212,1,190,0,0,0
H R 3205,552,2013,113,212,0,190,0,0,0
